name_length	value	response_time	accuracy	coarse_category	fine_category	subject	
13	37	0.9996665999997276	1	place	monument	1	
6	26	1.1047686000001704	1	place	country	1	
9	5	0.4044323999996777	0	person	musician	1	
4	34	1.108291399999871	1	place	body_of_water	1	
9	4	0.39216080000005604	1	place	monument	1	
15	39	1.9606884000004356	1	place	monument	1	
15	14	0.6983203999998295	1	person	musician	1	
14	19	0.9273751999999149	1	person	actor	1	
8	6	0.30952979999983654	0	person	politician	1	
7	23	0.9213304999993852	1	place	country	1	
19	11	0.8526382999998532	1	person	writer	1	
17	20	0.817599799999698	1	person	actor	1	
18	22	1.0727653000003556	1	person	actor	1	
8	28	0.7260733000002801	1	place	city	1	
9	7	0.31314949999978126	0	person	writer	1	
4	30	2.109744200000023	1	place	city	1	
6	29	0.8252251000003525	1	place	city	1	
17	27	0.8556381000007605	1	person	politician	1	
8	24	1.4136628999995082	1	place	country	1	
14	21	1.5523161999999502	1	person	politician	1	
9	16	0.9614585999997871	1	person	musician	1	
11	18	1.0993261000003258	1	person	actor	1	
16	33	0.7204853000002913	1	place	body_of_water	1	
16	35	1.0753826000000117	1	place	body_of_water	1	
5	2	1.975808600000164	1	place	city	1	
12	0	0.6649237000001449	1	person	politician	1	
8	6	0.4210614000003261	0	person	politician	1	
7	13	0.6443522999998095	1	person	musician	1	
13	12	0.8916112999995676	1	person	writer	1	
9	4	0.6638835000012477	1	place	monument	1	
8	28	1.1010534999986703	1	place	city	1	
11	25	0.7216325999997935	1	place	country	1	
7	23	1.924780200000896	1	place	country	1	
9	16	0.5678060000009282	1	person	musician	1	
16	33	1.1841917000001558	1	place	body_of_water	1	
15	14	0.8800140000003012	1	person	musician	1	
13	37	0.6059712999995099	1	place	monument	1	
15	39	1.6697666999989451	1	place	monument	1	
11	18	0.8348482999990665	1	person	actor	1	
6	1	0.5452659000002313	0	person	actor	1	
9	31	0.8285450000003038	1	place	city	1	
9	5	0.2993489000000409	0	person	musician	1	
23	15	0.976778899999772	1	person	musician	1	
10	36	1.0178291000011086	1	place	monument	1	
4	30	1.7761040000004868	1	place	city	1	
17	20	0.8094426999996358	1	person	actor	1	
6	26	0.44034370000008494	1	place	country	1	
12	0	0.7430170999996335	1	person	politician	1	
15	32	2.329511600000842	1	place	body_of_water	1	
17	27	1.0044988999998168	1	person	politician	1	
