name_length	value	response_time	accuracy	semantic_domain	familiarity	subject	
13	18	0.882883899997978	1	1	1	1	
14	13	1.314009099998657	1	1	-1	1	
18	7	0.8318304999993416	1	-1	-1	1	
4	24	0.7370719999998983	1	1	1	1	
14	6	1.9095981999998912	1	-1	-1	1	
20	22	0.9066674999994575	1	1	1	1	
15	15	0.9530134000015096	1	1	-1	1	
6	21	1.365748899999744	1	1	1	1	
13	29	0.7060763000008592	1	-1	1	1	
10	11	1.2717864999976882	1	1	-1	1	
15	25	0.9511201000022993	1	-1	1	1	
8	12	0.77155109999876	1	1	-1	1	
15	5	0.838719300001685	1	-1	-1	1	
12	4	1.0959129000002577	1	-1	-1	1	
13	3	0.9420484000002034	1	-1	-1	1	
17	30	0.7467058999973233	1	-1	1	1	
14	8	0.6391516000003321	1	-1	-1	1	
17	31	0.9356917000004614	1	-1	1	1	
15	19	0.9320082999984152	1	1	1	1	
13	10	0.7685127999975521	1	1	1	1	
11	0	0.9637015999978757	1	-1	1	1	
7	9	1.5520348000027298	1	1	-1	1	
10	20	0.8192065000002913	1	1	1	1	
12	1	0.8843496999979834	1	-1	-1	1	
15	2	0.9316032999995514	1	-1	-1	1	
15	16	0.8334981000007247	1	1	-1	1	
15	23	0.7538792000013927	1	1	1	1	
18	26	4.852962500001013	1	-1	1	1	
15	15	1.228406799997174	1	1	-1	1	
20	22	1.357799299999897	1	1	1	1	
8	12	2.4102198999971733	1	1	-1	1	
16	17	1.0674984999968729	1	1	-1	1	
19	14	0.7862672000010207	1	1	-1	1	
13	18	0.9964794000006805	1	1	1	1	
18	26	0.8948618999966129	1	-1	1	1	
12	1	0.8773805999990145	1	-1	-1	1	
15	23	0.7813175000010233	1	1	1	1	
17	30	0.7525626999995438	1	-1	1	1	
14	8	1.1235823999995773	1	-1	-1	1	
15	25	1.273365199998807	1	-1	1	1	
17	31	0.7444445000000997	1	-1	1	1	
18	7	0.7345089999980701	1	-1	-1	1	
12	28	1.2517540999979246	1	-1	1	1	
13	29	1.6682067000001553	1	-1	1	1	
